x,y,bins_per_axis,full_occupied_bins,off_occupied_bins,combined_occupied_bins,new_bins_added_by_off,full_occupied_fraction,off_occupied_fraction,combined_occupied_fraction,absolute_coverage_gain,relative_gain_vs_full,n_full,n_off
Y_C3H6,Heat absorption [MW/m3],30,103,524,524,421,0.11444444444444445,0.5822222222222222,0.5822222222222222,0.4677777777777778,4.087378640776699,180000,180000
Y_C2H2,Heat absorption [MW/m3],30,128,481,483,355,0.14222222222222222,0.5344444444444445,0.5366666666666666,0.39444444444444443,2.7734375,180000,180000
Y_C2H4,Heat absorption [MW/m3],30,379,697,707,328,0.4211111111111111,0.7744444444444445,0.7855555555555556,0.36444444444444446,0.8654353562005277,180000,180000
Y_C2H6,Y_C2H4,30,357,674,674,317,0.39666666666666667,0.7488888888888889,0.7488888888888889,0.3522222222222222,0.8879551820728291,180000,180000
T [K],Y_C2H6,30,596,835,835,239,0.6622222222222223,0.9277777777777778,0.9277777777777778,0.26555555555555554,0.401006711409396,180000,180000
Y_C2H6,Heat absorption [MW/m3],30,600,834,837,237,0.6666666666666666,0.9266666666666666,0.93,0.2633333333333333,0.395,180000,180000
Y_C2H4,Y_C3H6,30,438,655,656,218,0.4866666666666667,0.7277777777777777,0.7288888888888889,0.24222222222222223,0.4977168949771689,180000,180000
Y_C3H6,Y_C3H8,30,575,766,769,194,0.6388888888888888,0.8511111111111112,0.8544444444444445,0.21555555555555556,0.3373913043478261,180000,180000
Y_C3H8,Heat absorption [MW/m3],30,582,715,774,192,0.6466666666666666,0.7944444444444444,0.86,0.21333333333333335,0.32989690721649484,180000,180000
Y_C2H4,Y_C3H8,30,549,733,737,188,0.61,0.8144444444444444,0.8188888888888889,0.2088888888888889,0.3424408014571949,180000,180000
Y_C2H4,Y_C2H2,30,400,582,588,188,0.4444444444444444,0.6466666666666666,0.6533333333333333,0.2088888888888889,0.47,180000,180000
Y_C2H2,Y_C3H8,30,550,677,703,153,0.6111111111111112,0.7522222222222222,0.7811111111111111,0.17,0.2781818181818182,180000,180000
Y_C2H6,Y_C3H8,30,638,770,772,134,0.7088888888888889,0.8555555555555555,0.8577777777777778,0.14888888888888888,0.21003134796238246,180000,180000
Y_C2H6,Y_C2H2,30,253,366,366,113,0.2811111111111111,0.4066666666666667,0.4066666666666667,0.12555555555555556,0.44664031620553357,180000,180000
T [K],Y_C2H2,30,223,332,333,110,0.2477777777777778,0.3688888888888889,0.37,0.12222222222222222,0.49327354260089684,180000,180000
Y_C2H6,Y_C3H6,30,598,704,704,106,0.6644444444444444,0.7822222222222223,0.7822222222222223,0.11777777777777777,0.17725752508361203,180000,180000
T [K],Heat absorption [MW/m3],30,245,339,339,94,0.2722222222222222,0.37666666666666665,0.37666666666666665,0.10444444444444445,0.3836734693877551,180000,180000
T [K],Y_C2H4,30,525,617,617,92,0.5833333333333334,0.6855555555555556,0.6855555555555556,0.10222222222222223,0.17523809523809525,180000,180000
Y_C2H2,Y_C3H6,30,686,740,769,83,0.7622222222222222,0.8222222222222222,0.8544444444444445,0.09222222222222222,0.12099125364431487,180000,180000
P [bar],Heat absorption [MW/m3],30,816,873,893,77,0.9066666666666666,0.97,0.9922222222222222,0.08555555555555555,0.09436274509803921,180000,180000
P [bar],Y_C2H2,30,823,833,888,65,0.9144444444444444,0.9255555555555556,0.9866666666666667,0.07222222222222222,0.07897934386391252,180000,180000
T [K],Y_C3H6,30,514,560,562,48,0.5711111111111111,0.6222222222222222,0.6244444444444445,0.05333333333333334,0.0933852140077821,180000,180000
T [K],Y_C3H8,30,492,539,539,47,0.5466666666666666,0.5988888888888889,0.5988888888888889,0.052222222222222225,0.09552845528455285,180000,180000
P [bar],Y_C2H6,30,869,900,900,31,0.9655555555555555,1.0,1.0,0.034444444444444444,0.03567318757192175,180000,180000
tau [ms],Heat absorption [MW/m3],30,50,30,80,30,0.05555555555555555,0.03333333333333333,0.08888888888888889,0.03333333333333333,0.6,180000,180000
T [K],tau [ms],30,384,30,414,30,0.4266666666666667,0.03333333333333333,0.46,0.03333333333333333,0.078125,180000,180000
tau [ms],Y_C3H8,30,385,30,415,30,0.42777777777777776,0.03333333333333333,0.46111111111111114,0.03333333333333333,0.07792207792207792,180000,180000
tau [ms],Y_C3H6,30,362,30,392,30,0.4022222222222222,0.03333333333333333,0.43555555555555553,0.03333333333333333,0.08287292817679558,180000,180000
tau [ms],Y_C2H2,30,353,30,383,30,0.39222222222222225,0.03333333333333333,0.4255555555555556,0.03333333333333333,0.08498583569405099,180000,180000
tau [ms],Y_C2H4,30,381,30,411,30,0.42333333333333334,0.03333333333333333,0.45666666666666667,0.03333333333333333,0.07874015748031496,180000,180000
P [bar],tau [ms],30,389,30,419,30,0.43222222222222223,0.03333333333333333,0.46555555555555556,0.03333333333333333,0.07712082262210797,180000,180000
tau [ms],Y_C2H6,30,373,30,403,30,0.41444444444444445,0.03333333333333333,0.4477777777777778,0.03333333333333333,0.08042895442359249,180000,180000
P [bar],Y_C3H6,30,888,898,899,11,0.9866666666666667,0.9977777777777778,0.9988888888888889,0.012222222222222223,0.012387387387387387,180000,180000
P [bar],Y_C3H8,30,893,899,900,7,0.9922222222222222,0.9988888888888889,1.0,0.0077777777777777776,0.007838745800671893,180000,180000
P [bar],Y_C2H4,30,895,900,900,5,0.9944444444444445,1.0,1.0,0.005555555555555556,0.00558659217877095,180000,180000
Heat absorption [MW/m3],Wall source [MW/m3],30,730,30,731,1,0.8111111111111111,0.03333333333333333,0.8122222222222222,0.0011111111111111111,0.0013698630136986301,180000,180000
Y_C2H6,Wall source [MW/m3],30,870,30,871,1,0.9666666666666667,0.03333333333333333,0.9677777777777777,0.0011111111111111111,0.0011494252873563218,180000,180000
tau [ms],Wall source [MW/m3],30,286,1,287,1,0.31777777777777777,0.0011111111111111111,0.3188888888888889,0.0011111111111111111,0.0034965034965034965,180000,180000
Y_C2H4,Wall source [MW/m3],30,896,30,896,0,0.9955555555555555,0.03333333333333333,0.9955555555555555,0.0,0.0,180000,180000
Y_C2H2,Wall source [MW/m3],30,762,30,762,0,0.8466666666666667,0.03333333333333333,0.8466666666666667,0.0,0.0,180000,180000
P [bar],Wall source [MW/m3],30,900,30,900,0,1.0,0.03333333333333333,1.0,0.0,0.0,180000,180000
Y_C3H6,Wall source [MW/m3],30,857,30,857,0,0.9522222222222222,0.03333333333333333,0.9522222222222222,0.0,0.0,180000,180000
T [K],Wall source [MW/m3],30,817,30,817,0,0.9077777777777778,0.03333333333333333,0.9077777777777778,0.0,0.0,180000,180000
Y_C3H8,Wall source [MW/m3],30,880,30,880,0,0.9777777777777777,0.03333333333333333,0.9777777777777777,0.0,0.0,180000,180000
T [K],P [bar],30,900,900,900,0,1.0,1.0,1.0,0.0,0.0,180000,180000
