dataset,variable,n,min,p01,p05,p50,p95,p99,max
full,T [K],250000,823.2502062112093,840.620476157437,894.5841586126166,1040.7813312216167,1147.0450308097786,1209.5518125647159,1422.4326146943276
full,P [bar],250000,1.5001656059175728,1.5203102286905057,1.600288579240441,2.4999999999999996,3.3907658457756042,3.477509969845413,3.499869188293816
full,tau [ms],250000,0.0,0.0,0.09297621352702119,30.45277016864513,400.08193556270595,717.8017203523742,2003.896779615654
full,X_C2H6 [%],250000,-8.185685596018288e-06,0.0,0.00010011332029491449,3.4167087683288635,45.25949004678505,77.80300946966261,99.79910696780294
full,Y_C2H6,250000,0.0010191359059224484,0.1341120372710058,0.32571506947568196,0.6503368390882212,0.8951819289296752,0.8999994295346888,0.9000000000217394
full,Y_C2H4,250000,-4.32752189714735e-08,0.0,5.685514976768355e-07,0.0210448268600546,0.25919526686885924,0.3898395406878033,0.5680761407044191
full,Y_C2H2,250000,-1.4687894997651422e-18,0.0,5.312054905830108e-16,3.2289919804728782e-06,0.0007874623568195473,0.00598625912038948,0.18809498184496817
full,Y_C3H6,250000,-2.4045297568755062e-15,0.0,1.0240007004701293e-14,6.5096475796302774e-06,0.003974504496262409,0.010123593636970539,0.01811178685313225
full,Y_C3H8,250000,-9.604509695778745e-16,0.0,1.8820250713611004e-11,1.6876438198456872e-05,0.000702491431911234,0.0014430929620153586,0.00237962788955525
full,Heat absorption [MW/m3],250000,-4.879579717898135,8.503051996073994e-05,0.003572455731156968,3.1617994887505017,107.1108795268516,389.18240395019046,14077.493271827805
full,Wall source [MW/m3],250000,0.0,0.0,0.0,1.5188740757925143,15.547731293828129,24.555070794031412,32.64953653261712
full,T_in [K],250000,823.2006484415382,827.4272317305207,844.2808503616601,998.4712199779228,1168.5527827590704,1273.251537233591,1399.8826670460403
full,P_in [bar],250000,1.500165605917573,1.520310228690505,1.6002885792404413,2.5,3.3907658457756042,3.477509969845414,3.4998691882938147
full,steam_to_ethane [kg/kg],250000,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.4285714285714286,1.2222222222222225,1.2222222222222225,1.2222222222222225
full,H_peak [MW/m2],250000,0.01000675492487265,0.012100896324724058,0.02501427259607564,0.08830256815590355,0.22387693846600493,0.24406285436065447,0.24997002346586397
full,diameter [m],250000,0.0306,0.0306,0.0306,0.05,0.1,0.1,0.1
full,Re_in [k],250000,40.000984422217016,40.2274628956155,41.16175916405889,52.91502622129181,67.95243949805804,69.60036707414507,69.99946636816021
full,U_in [m/s],250000,5.461890669723622,8.711963364195437,11.72619859731918,33.09776648584556,85.7169450357022,116.66262965775259,209.0035604010577
full,mdot [kg/s],250000,0.017995606619674594,0.021277428651910305,0.024443737910981395,0.05077571567183598,0.12637719675397077,0.1477067462516744,0.17582930171257674
full,sum_selected_Y [-],250000,0.25450407570182876,0.8762348601082113,0.9576590434522024,0.9981220404053681,0.9999999172960214,1.0,1.000000006732266
offmanifold,T [K],250000,799.3204541641486,839.7356180641374,895.0427291713161,1040.8091682413892,1152.1004526942465,1215.6274882110868,1423.15
offmanifold,P [bar],250000,1.4259483856859423,1.5008812427289173,1.5974122622038942,2.4830640912719506,3.398420711331623,3.5484389421747364,3.6724959201734158
offmanifold,tau [ms],250000,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
offmanifold,Y_C2H6,250000,0.000502813808023743,0.12520820906738855,0.29014519030743746,0.6349832456043325,0.8977268897525558,0.9295747222212261,0.9718253906631175
offmanifold,Y_C2H4,250000,0.0,0.0,5.578908785787772e-07,0.020866636919361192,0.2653734522785727,0.4138128345318006,0.7101821900345894
offmanifold,Y_C2H2,250000,0.0,0.0,5.454718687034511e-16,3.2565964023058506e-06,0.0008033704616371681,0.0060644999276624634,0.21172569843007558
offmanifold,Y_C3H6,250000,0.0,0.0,1.0342405412008527e-14,6.618185052541761e-06,0.0039315116793807265,0.010535782641413543,0.03457727936495353
offmanifold,Y_C3H8,250000,0.0,0.0,1.9676479119254513e-11,1.6790252216881596e-05,0.0006918938130704533,0.001531097187624249,0.005402339492417584
offmanifold,Heat absorption [MW/m3],250000,-2636.5146343063357,-36.15084587922475,-3.021383978755167,2.5293803683469944,118.68676550093745,445.90478315921416,12077.273611276769
offmanifold,Wall source [MW/m3],250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offmanifold,steam_to_ethane [kg/kg],250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offmanifold,H_peak [MW/m2],250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offmanifold,diameter [m],250000,1.0,1.0,1.0,1.0,1.0,1.0,1.0
offmanifold,mdot [kg/s],250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offmanifold,sum_selected_Y [-],250000,0.21815323606353906,0.8717397355099962,0.9562403554775459,0.9981122005725532,0.9999999151861427,1.0,1.0000000000000002
combined,T [K],500000,799.3204541641486,840.1472542218454,894.7907811321095,1040.7950611894264,1149.5940267048472,1212.8870712637229,1423.15
combined,P [bar],500000,1.4259483856859423,1.5127469030601879,1.598912240937352,2.499999999999999,3.3938874136656527,3.499411025279195,3.6724959201734158
combined,tau [ms],500000,-1000.0,-1000.0,-1000.0,-500.0,273.49558159979,577.4503779399978,2003.896779615654
combined,X_C2H6 [%],250000,-8.185685596018288e-06,0.0,0.00010011332029491449,3.4167087683288635,45.25949004678505,77.80300946966261,99.79910696780294
combined,Y_C2H6,500000,0.000502813808023743,0.1291970221589119,0.30488196422664754,0.6410806355660188,0.8959278934044312,0.9190602149056389,0.9718253906631175
combined,Y_C2H4,500000,-4.32752189714735e-08,0.0,5.630582286040365e-07,0.020958114608227277,0.26235956563129426,0.40206214020269626,0.7101821900345894
combined,Y_C2H2,500000,-1.4687894997651422e-18,0.0,5.368324695889691e-16,3.2421217501221106e-06,0.0007953136589802032,0.006016053097915141,0.21172569843007558
combined,Y_C3H6,500000,-2.4045297568755062e-15,0.0,1.0269293805202693e-14,6.5660649974331046e-06,0.003955310419478082,0.010296239043969837,0.03457727936495353
combined,Y_C3H8,500000,-9.604509695778745e-16,0.0,1.9209042068784553e-11,1.683488681995016e-05,0.0006972104958583586,0.001479068145976419,0.005402339492417584
combined,Heat absorption [MW/m3],500000,-2636.5146343063357,-16.211226909284548,3.292219550234485e-05,2.8919462516144314,112.7434522215456,414.17101683144216,14077.493271827805
combined,Wall source [MW/m3],500000,0.0,0.0,0.0,0.0,10.984253185565587,21.286136367116057,32.64953653261712
combined,T_in [K],250000,823.2006484415382,827.4272317305207,844.2808503616601,998.4712199779228,1168.5527827590704,1273.251537233591,1399.8826670460403
combined,P_in [bar],250000,1.500165605917573,1.520310228690505,1.6002885792404413,2.5,3.3907658457756042,3.477509969845414,3.4998691882938147
combined,steam_to_ethane [kg/kg],500000,0.0,0.0,0.0,0.05555555555555556,1.2222222222222225,1.2222222222222225,1.2222222222222225
combined,H_peak [MW/m2],500000,0.0,0.0,0.0,0.005003377462436325,0.20024030549336805,0.23930532229301324,0.24997002346586397
combined,diameter [m],500000,0.0306,0.0306,0.0306,0.55,1.0,1.0,1.0
combined,Re_in [k],250000,40.000984422217016,40.2274628956155,41.16175916405889,52.91502622129181,67.95243949805804,69.60036707414507,69.99946636816021
combined,U_in [m/s],250000,5.461890669723622,8.711963364195437,11.72619859731918,33.09776648584556,85.7169450357022,116.66262965775259,209.0035604010577
combined,mdot [kg/s],500000,0.0,0.0,0.0,0.008997803309837297,0.11491878828046474,0.13924667536464527,0.17582930171257674
combined,sum_selected_Y [-],500000,0.21815323606353906,0.8740315255692563,0.9569630020564972,0.9981173171464938,0.9999999163300448,1.0,1.000000006732266
